;SOFIX;BG REIT
01-dec-2020;427,87;135,19
30-nov-2020;423,33;135,19
27-nov-2020;425,7;134,34
26-nov-2020;424,62;131,35
25-nov-2020;422,39;130,77
24-nov-2020;424,87;131,76
23-nov-2020;424,42;131,77
20-nov-2020;426,4;131,48
19-nov-2020;422,86;131,94
18-nov-2020;425,66;131,12
17-nov-2020;425,65;130,83
16-nov-2020;422,84;130,83
13-nov-2020;425,62;132,15
12-nov-2020;428,07;133,10
11-nov-2020;428,63;134,57
10-nov-2020;428,62;134,23
09-nov-2020;425,96;133,62
06-nov-2020;424,94;132,56
05-nov-2020;425,91;133,20
04-nov-2020;427,69;135,54
03-nov-2020;427,36;134,90
02-nov-2020;429,38;134,86
30-oct-2020;427,94;134,86
29-oct-2020;424,09;135,06
28-oct-2020;423,69;134,77
27-oct-2020;426,4;135,75
26-oct-2020;429,72;136,05
23-oct-2020;427,07;136,00
22-oct-2020;429,66;136,15
21-oct-2020;428;136,32
20-oct-2020;428,07;136,35
19-oct-2020;428,97;136,83
16-oct-2020;429,83;136,34
15-oct-2020;425,35;136,52
14-oct-2020;425,96;135,50
13-oct-2020;424,46;135,04
12-oct-2020;425,93;135,90
09-oct-2020;423,27;136,05
08-oct-2020;421,65;135,30
07-oct-2020;422;135,15
06-oct-2020;422,19;135,30
05-oct-2020;421,91;135,30
02-oct-2020;420,33;135,15
01-oct-2020;425,63;135,15
30-sept-2020;427,55;135,30
29-sept-2020;426,9;134,84
28-sept-2020;426,43;134,84
25-sept-2020;422,58;134,37
24-sept-2020;425,21;134,37
23-sept-2020;425,11;134,34
21-sept-2020;423,59;133,53
18-sept-2020;424,97;133,84
17-sept-2020;429,6;134,13
16-sept-2020;429,81;134,13
15-sept-2020;430,66;133,36
14-sept-2020;430,91;133,23
11-sept-2020;431,95;133,11
10-sept-2020;430,51;132,66
09-sept-2020;435,07;133,40
08-sept-2020;434,26;132,37
04-sept-2020;435,11;133,26
03-sept-2020;434,77;133,26
02-sept-2020;431,75;133,54
01-sept-2020;430,87;133,83
31-aug-2020;434,21;134,43
28-aug-2020;432,51;135,65
27-aug-2020;430,86;135,04
26-aug-2020;437,61;135,47
25-aug-2020;433,71;135,33
24-aug-2020;435,17;135,41
21-aug-2020;435,14;135,69
20-aug-2020;435,81;135,83
19-aug-2020;434,46;135,15
18-aug-2020;433,44;133,42
17-aug-2020;433,61;132,97
14-aug-2020;433,21;133,00
13-aug-2020;435,61;131,69
12-aug-2020;435,59;131,40
11-aug-2020;435,62;131,26
10-aug-2020;431,99;130,66
07-aug-2020;430,87;130,81
06-aug-2020;433,08;130,09
05-aug-2020;434,56;130,81
04-aug-2020;436,91;130,80
03-aug-2020;436,59;130,80
31-iul-2020;436,45;130,66
30-iul-2020;439,6;131,09
29-iul-2020;438,16;131,67
28-iul-2020;438,22;131,30
27-iul-2020;439,88;131,16
24-iul-2020;440,18;131,44
23-iul-2020;440,63;131,30
22-iul-2020;439,71;131,30
21-iul-2020;441,46;131,30
20-iul-2020;442,02;131,44
17-iul-2020;442,27;131,30
16-iul-2020;444,77;131,30
15-iul-2020;442,17;130,89
14-iul-2020;441,32;131,13
13-iul-2020;443,73;131,13
10-iul-2020;444,23;130,99
09-iul-2020;445,52;131,13
08-iul-2020;448,19;131,27
07-iul-2020;446,22;131,27
06-iul-2020;447,12;131,63
03-iul-2020;449,82;132,67
02-iul-2020;452,52;132,81
01-iul-2020;453,03;132,95
30-iun-2020;453,26;132,53
29-iun-2020;453,92;133,53
26-iun-2020;455,15;133,82
25-iun-2020;456,02;133,38
24-iun-2020;455,24;132,94
23-iun-2020;455,12;132,52
22-iun-2020;457,22;132,52
19-iun-2020;459,87;133,48
18-iun-2020;459,09;133,48
17-iun-2020;459,46;133,86
16-iun-2020;457,53;133,29
15-iun-2020;458,81;132,97
12-iun-2020;456,39;132,51
11-iun-2020;452,47;133,57
10-iun-2020;462,28;133,73
09-iun-2020;465,68;133,57
08-iun-2020;465,84;134,00
05-iun-2020;467,21;134,02
04-iun-2020;462,1;133,56
03-iun-2020;458,87;133,57
02-iun-2020;461,03;134,20
01-iun-2020;461,06;134,28
29-mai-2020;452,71;133,45
28-mai-2020;453,76;133,14
27-mai-2020;452,92;133,28
26-mai-2020;451,56;133,43
22-mai-2020;450,22;133,43
21-mai-2020;449,56;133,28
20-mai-2020;449,45;133,87
19-mai-2020;451,33;133,43
18-mai-2020;449,75;133,29
15-mai-2020;450,13;133,27
14-mai-2020;449,51;133,27
13-mai-2020;452,98;133,71
12-mai-2020;451,78;133,71
11-mai-2020;449,77;133,54
08-mai-2020;448,82;134,00
07-mai-2020;446,95;133,42
05-mai-2020;448,37;133,57
04-mai-2020;447,74;133,40
30-apr-2020;447,45;132,94
29-apr-2020;449,39;132,65
28-apr-2020;447,7;131,36
27-apr-2020;445,33;131,20
24-apr-2020;448,61;129,13
23-apr-2020;442,63;128,99
22-apr-2020;435,38;128,99
21-apr-2020;429,12;128,36
16-apr-2020;447,27;128,67
15-apr-2020;453,2;129,12
14-apr-2020;459,55;130,14
09-apr-2020;445,43;129,06
08-apr-2020;435,55;127,16
07-apr-2020;433,39;126,87
06-apr-2020;427,78;126,16
03-apr-2020;423,34;125,54
02-apr-2020;421,69;125,68
01-apr-2020;417,64;125,22
